tag,line,line_type,quire,page,folio,bifolio,section,language,writing_hand,currier_hand,annotations,paragraph,order0,K_topic,topic_id
f19r,1.0,1,C,E,c,3,Herbal,A,1,1,Other extraneous writing,pchor qodchy qotshy dy tchy qotchy qoky dchydy dshy chor tchy chol dytchy chordy dyty cho oscheor shy tdaiin chol dor yky qokorar chckhy shy kchor otchy tchy qoky yshor shy otytchy qo'k cho ky cthar dor chan or chor daky chor dorl shy qotchor dy dor tchy kchy shdaiin cthor chol ykchor chordy qotchy qolody choldy cthyd ykchor chor daiinol octhor ytchor,70,6:5,5
f19v,1.0,1,C,F,c,3,Herbal,A,1,1,Other extraneous writing,pochaiin cthor chpcheos opchey py kchy qokchy kchol sor qokchos ykchy darom otchy chol qotol ytol daiiin ytch chcthy qotol qotchy qoteey doty qot ychoy kchor cthol chocthy ycho chaiin cthor,71,6:5,5
f19v,8.0,1,C,F,c,3,Herbal,A,1,1,Other extraneous writing,toy tchey qo dchol qokchs dom ychor oky chor ytol chol oky ddor chor qokor okchan qotol dor okchor cthor otam otch okchodshy or otaiin dais yees ykchol oty ytor ytar ytchor ytaiin otchol cheaiin cthol,72,6:5,5
f20r,1.0,1,C,G,d,4,Herbal,A,1,1,Colour annotation,kdchody chopy cheey qotchol qotoeey dchor chaiin chod ey cthey chotol odaiir qotchy cthody chodchy qoteey cho chodaiin sho qochy chey tcheodal daral ochol ol teey otolchey,73,6:5,5
f20r,5.0,1,C,G,d,4,Herbal,A,1,1,Colour annotation,pchocthy chokoaiin cpy cheeeb opchey shosaiin choees okchor qotol cheey chy choiin ocho lshod choteol chol dol shol otaiin schodain cheo cheody,74,6:5,5
f20r,9.0,1,C,G,d,4,Herbal,A,1,1,Colour annotation,fchodees shody qotchey qokchey qocphy chokoldy ochoaiin chor sody pchodaiin chetody choky dchy toy dchod qoteeody ytchy qo tshey dchaiin chol ody shoiin cheody otchey otchy tchy qoteey ochaiin chor chor cheey tchey,75,6:5,5
f20v,1.0,1,C,H,d,4,Herbal,A,1,1,Colour annotation,faiis ar okoy shy pofochey opchy qopy choldy opydy cphy sos ykoiin cheol chol choiin checthy chol chodaiin oty okchy sho kchol shol chcthy qoty chy tolshy qotchy sho or aiin shol,76,6:5,5
f20v,5.0,1,C,H,d,4,Herbal,A,1,1,Colour annotation,tshol folchol shol shor fshodchy otchy chcphy dy doiiin chockhy dan cheoikhy shos cheos char ithaiin shocthy sho cthy sheoy tey ssoaiin shain choraly sho ar chy ykchy keody cho cthy chol shd qoty d shokaiin chocthy chol chy chor ety okoiin chey phol chory,77,6:5,5
f21r,1.0,1,C,I,w,4,Herbal,A,1,1,Colour annotation,pchor eeockhy fychey ypchey qopcheody otaiin chan saiin chcphy oky sheaiin qotchol oteos sheey cthy qotol shy cheor chy qokchey chey dy,78,6:5,5
f21r,4.0,1,C,I,w,4,Herbal,A,1,1,Colour annotation,pchofychy cthain tolosheey qocthey tolchory chosy qokoiin chol qotcheol okeoaiin dchor kol ky chol kol qokeol chol ol qoteeol dady shoeor cheor chokeody cho cthor shy,79,6:5,5
